id,value
id_126,21.4842630562
id_4,8.07533733747
id_216,92.2562761642
id_179,23.8767676432
id_234,16.1202622649
id_167,-0.190369373598
id_18,17.9965394464
id_188,17.1105999217
id_209,14.5328921299
id_83,31.1579596574
id_52,39.6877098924
id_100,9.18255198438
id_15,11.8946502988
id_40,47.1263855789
id_109,14.3440533311
id_88,19.3571158922
id_91,11.8397947774
id_134,26.3343151587
id_198,21.0135680824
id_177,17.3868653623
id_158,3.93718756998
id_180,42.0938388291
id_102,12.6633595315
id_25,45.6253316835
id_161,18.7903360808
id_14,26.5268690824
id_178,19.4088906753
id_154,14.200521288
id_140,26.5891690318
id_81,22.8211476581
id_174,23.9272430862
id_187,35.3109234732
id_147,7.05242592286
id_168,66.9927759726
id_214,41.6566784632
id_92,12.4207236235
id_200,123.447109486
id_112,16.6594446521
id_87,10.1580621409
id_35,42.7665969439
id_185,41.3271790577
id_163,16.9342249412
id_149,15.7683923803
id_136,10.3893003291
id_222,27.7641911167
id_208,62.9587350901
id_45,47.0045873844
id_12,34.9164343668
id_64,51.617382043
id_1,62.7265496947
id_34,14.9827791638
id_33,7.84621715915
id_7,17.4575682746
id_159,23.8249721302
id_218,30.7889844125
id_236,14.3985994605
id_93,9.7480060681
id_101,17.2443867252
id_135,24.4790191167
id_55,37.4829247846
id_22,40.1779592465
id_38,4.54185998073
id_238,21.1152075231
id_119,-0.119468841979
id_150,46.7598246687
id_205,36.9425889969
id_219,17.6401182828
id_137,20.545303563
id_144,11.993457609
id_30,18.7286447015
id_80,7.67297117472
id_122,12.9647657356
id_43,18.7672760115
id_51,24.6393411932
id_212,18.3033285788
id_203,5.65616416709
id_217,71.3347618854
id_84,8.60620002836
id_23,8.98577683043
id_70,63.9037661377
id_32,15.4772737595
id_57,21.5329691986
id_138,78.3376849663
id_104,12.6902237769
id_85,4.47789508747
id_194,29.579105575
id_50,30.0109168552
id_160,40.7630904032
id_3,28.7266439031
id_56,24.9642515853
id_71,55.3674182793
id_20,16.1345783268
id_114,19.1134622846
id_72,40.8095213117
id_44,45.2460195633
id_117,46.0796856419
id_172,20.0921056083
id_113,25.4049670531
id_105,35.9957293808
id_21,30.9215432813
id_17,24.0403150409
id_96,16.4274944728
id_27,5.8452650525
id_231,16.9593160309
id_24,62.6085512231
id_215,77.5904674407
id_67,52.2291293623
id_118,27.6567633178
id_98,11.458030326
id_125,24.1441750276
id_37,28.2726074692
id_157,35.9667817004
id_191,17.7371022642
id_106,26.1010504592
id_60,13.4122090635
id_192,30.1313586332
id_94,37.6343710329
id_166,25.1802656
id_61,21.0503073263
id_59,31.6078043429
id_141,18.2247989814
id_82,3.93166840064
id_16,51.5898960119
id_221,54.4948297229
id_129,13.2569003019
id_110,11.6096400568
id_29,36.6939770902
id_10,38.5331911754
id_123,12.4692958188
id_111,17.5819223512
id_103,7.34399240604
id_173,1.72474859978
id_213,113.537713256
id_151,21.8435077021
id_232,21.6732663741
id_31,12.0753400348
id_6,40.5937784907
id_11,58.8986836936
id_143,7.50640604441
id_47,41.0424759086
id_142,24.0335313474
id_165,24.2707533477
id_115,15.8662466077
id_39,58.9352225926
id_211,67.9656505295
id_26,28.943967503
id_133,21.6732211401
id_220,29.0526892021
id_230,41.8044536494
id_201,22.8879002456
id_95,14.101339957
id_76,60.8976489728
id_19,18.9650452919
id_227,80.4215085464
id_130,0.309689076631
id_63,53.4431758196
id_237,2.02073324084
id_48,55.915632992
id_186,35.5846759964
id_120,-0.301728358613
id_156,24.1286678498
id_62,32.2876557695
id_152,21.9329652577
id_228,31.3495064878
id_235,26.6182925584
id_108,16.6606098243
id_127,9.92697624287
id_239,11.4629613166
id_75,36.2619039817
id_193,68.7441713619
id_202,58.9273400015
id_68,28.3904095297
id_196,63.9278773439
id_183,11.9883074755
id_0,25.5656121332
id_116,6.23136155165
id_146,20.8074296445
id_65,25.5264281975
id_79,43.5659073163
id_199,19.9421676411
id_54,36.847673466
id_128,20.4543440785
id_132,15.0336282503
id_41,19.1161625296
id_210,37.6250976618
id_90,35.1571703503
id_204,60.2387608848
id_89,24.8568208191
id_124,7.96828227995
id_145,8.74675370761
id_139,60.8605930528
id_171,70.0153715607
id_131,31.6378115698
id_223,36.8429196333
id_99,3.95237296248
id_5,31.2679193347
id_97,9.25395788767
id_36,22.8834661144
id_169,13.3183818129
id_66,38.5793572491
id_224,42.1316335287
id_2,18.7568622808
id_153,13.3312166002
id_197,15.8199245772
id_184,6.10485534834
id_77,1.92462125103
id_226,1.92376349218
id_73,13.8158994796
id_28,28.8396649156
id_233,7.89672703547
id_121,9.27863423098
id_189,23.581601455
id_229,-0.730364758267
id_58,35.1468415387
id_9,32.1560998402
id_225,10.7766389582
id_53,23.3898485031
id_170,15.7822050808
id_69,41.1742797317
id_49,39.2921552828
id_181,31.324085543
id_13,41.1948280743
id_176,6.93400224981
id_182,27.4743257003
id_74,14.0476036877
id_155,25.9757106037
id_175,-1.759653525
id_190,14.5550941605
id_8,52.5437961701
id_46,56.6284602983
id_206,14.7011766892
id_78,42.1108231696
id_86,17.3330008134
id_162,62.9071702043
id_195,10.7786095126
id_107,6.88617163506
id_42,52.7101229546
id_148,13.0652640175
id_164,33.3175853055
id_207,14.1205147613
